BU-NEU-EXP;BU-NEU-DAT;BU-NEU-ZEIT;BU-AEN-EXP;BU-AEN-DAT;BU-AEN-ZEIT;BU-UDB;#DUMMY-01;#DUMMY-01;#DUMMY-02;#DUMMY-03;#DUMMY-04;#DUMMY-05;#DUMMY-06;#DUMMY-07;#DUMMY-08;#DUMMY-09;#DUMMY-10;BU-KDNR;BU-NDL;BU-BUERO;BU-NAME;BU-NAME-2;BU-NAME-VERSAND;BU-ORT;BU-STRASSE;BU-POSTFACH;BU-PLZ;BU-PLZ-POSTF;BU-PLZ-GROSS;BU-NAT-KENNZ;BU-GUELTIG-VON;BU-GUELTIG-BI;BU-KOM-TEL-1;BU-KOM-TEL-2;#Z-TELEX-1;#Z-TELEX-2;#Z-TELEX-3;#Z-TELEX-4;BU-KOM-FAX;BU-KOM-BTX;BU-KASSENKONTO;BU-EMPFAENGER;#DUMMY-01;#DUMMY-01;BU-KONTO;#DUMMY-01;BU-E-MAIL;#DUMMY-01;BU-VERKAUFSEINHEIT;BU-DEBITOREN-ZUORDNUNG;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-MARK-DEF-TYP;BU-MARK-DEF-ZIEL;BU-MARK-DEF-BEFOERDERART;BU-MARK-DEF-REISEART;BU-MARK-DEF-DAUER;BU-TEILNEHMER-ABGRENZBUCHUNG
9083;15.06.2009;10:42:45;9083;01.07.2014;11:03:07;210;2501 126;;;;;;;;;;;2501;1;126;Reiseland Rendsburg;;;Rendsburg;Altstaedter Markt 11;;24768;;;DE;20090714;20691231;;;;;;;;;101377;;;;;;rendsburg.jungfernstieg@reiseland.de;;;;7904;188283;20090715;20691231;7905;188283;20090715;20691231;9640;110183;20090715;20691231;9641;110183;20090715;20691231;9642;110183;20090715;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;05.08.2009;13:10:32;9083;07.01.2010;10:41:23;210;2501 127;;;;;;;;;;;2501;1;127;Rl Hamburg Fuhlsbuetteler Str.;;;Hamburg-Barmbek;Fuhlsbuetteler Str. 163;;22305;;;DE;20090805;20691231;;;;;;;;;101378;;;;;;Hamburg.Fuhlsbuettler@reiseland.de;;;;7904;188284;20090815;20691231;7905;188284;20090815;20691231;9640;110184;20090815;20691231;9641;110184;20090815;20691231;9642;110184;20090815;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;21.09.2009;14:32:42;9083;26.10.2010;15:28:47;210;2501 128;;;;;;;;;;;2501;1;128;RL Delmenhorst;;;Delmenhorst;Stedingerstrasse 101;;27753;;;DE;20091015;20691231;511;6896800;;;;;6896809;;101379;;;;;;Delmenhorst.Stedingerstr@reiseland.de;;;;7904;188323;20091015;20691231;7905;188323;20091015;20691231;9640;110185;20091015;20691231;9641;110185;20091015;20691231;9642;110185;20091015;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;01.09.2010;14:18:11;9083;01.03.2011;12:41:42;210;2501 130;;;;;;;;;;;2501;1;130;RL Schoenebeck;;;Schoenebeck;Calbesche Straﬂe 31;;39218;;;DE;20101101;20691231;3928;404845;;;;;404846;;101314;;;;;;sbk@reiseland.de;;;;7904;188225;20100901;20691231;7905;188225;20100901;20691231;9640;110123;20100901;20691231;9641;110123;20100901;20691231;9642;110123;20100901;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;07.10.2010;14:04:33;9083;01.03.2011;12:41:11;210;2501 131;;;;;;;;;;;2501;1;131;RL Schweinfurt;;;Schweinfurt;Carl-Benz-Str. 7 / Marktkauf;;97421;;;DE;20101007;20691231;9721;94439-0;;;;;94439-20;;101381;;;;;;Schweinfurt.Marktkauf@reiseland.de;;;;7904;188325;20101007;20691231;7905;188325;20101007;20691231;9640;110187;20101007;20691231;9641;110187;20101007;20691231;9642;110187;20101007;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;01.03.2011;11:11:39;9083;15.08.2014;11:18:03;210;2501 132;;;;;;;;;;;2501;1;132;Reiseland Duesseldorf;;;Duesseldorf;Kalkumer Straﬂe 11;;40468;;;DE;20110401;20691231;211;420080;;;;;420090;;101382;;;;;;duesseldorf@reiseland.de;;;;7904;188326;20110401;20691231;7905;188326;20110401;20691231;9640;110188;20110401;20691231;9641;110188;20110401;20691231;9642;110188;20110401;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;08.03.2011;14:16:18;9083;09.03.2011;14:22:45;210;2501 133;;;;;;;;;;;2501;1;133;Reiseland Syke;;;SYKE;Hauptstrasse 23;;28857;;;DE;20110315;20691231;4242;4001;;;;;922315;;101383;;;;;;syke@reiseland.de;;;;7904;188327;20110315;20691231;7905;188327;20110315;20691231;9640;110189;20110315;20691231;9641;110189;20110315;20691231;9642;110189;20110315;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;22.03.2011;15:29:57;9083;23.03.2011;12:44:34;210;2501 134;;;;;;;;;;;2501;1;134;Reiseland Aachen;;;Aachen;Alexianergraben 9;;52064;;;DE;20110401;20691231;241;21573;;;;;;;101384;;;;;;aachen@reiseland.de;;;;7904;188328;20110401;20691231;7905;188328;20110401;20691231;9640;110190;20110401;20691231;9641;110190;20110401;20691231;9642;110190;20110401;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;15.07.2011;13:33:02;9083;15.07.2011;13:36:15;210;2501 135;;;;;;;;;;;2501;1;135;Reiseland Bentwisch;;;Bentwisch;Hansestraﬂe 37;;18182;;;DE;20110801;20691231;381;659150;;;;;6591512;;101385;;;;;;Bentwisch.Hansecenter@Reiseland.de;;;;7904;188329;20110801;20691231;7905;188329;20110801;20691231;9640;110191;20110801;20691231;9641;110191;20110801;20691231;9642;110191;20110801;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;23.08.2011;13:37:11;9083;23.09.2011;14:08:55;210;2501 136;;;;;;;;;;;2501;1;136;Reiseland AIDA Koeln;;;Koeln;Aachener Str. 1253;;50858;;;DE;20110823;20691231;;;;;;;;;101386;;;;;;aida-fernwehinsel-rhein-center@reiseland.de;;;;7904;188333;20110823;20691231;7905;188333;20110823;20691231;9640;110192;20110823;20691231;9641;110192;20110823;20691231;9642;110192;20110823;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;23.08.2011;13:42:46;9083;23.09.2011;14:09:20;210;2501 137;;;;;;;;;;;2501;1;137;Reiseland AIDA Hamburg;;;Hamburg;Kritenbarg 4;;22391;;;DE;20110823;20691231;;;;;;;;;101387;;;;;;aida-fernwehinsel-aez@reiseland.de;;;;7904;188334;20110823;20691231;7905;188334;20110823;20691231;9640;110193;20110823;20691231;9641;110193;20110823;20691231;9642;110193;20110823;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;23.08.2011;13:44:41;9083;23.09.2011;14:09:43;210;2501 138;;;;;;;;;;;2501;1;138;Reiseland AIDA Braunschweig;;;Braunschweig;Platz am Ritterbrunnen 1;;38100;;;DE;20110823;20691231;;;;;;;;;101388;;;;;;aida-fernwehinsel-schloss-arkaden@reiseland.de;;;;7904;188335;20110823;20691231;7905;188335;20110823;20691231;9640;110194;20110823;20691231;9641;110194;20110823;20691231;9642;110194;20110823;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;27.09.2011;15:39:07;9083;22.02.2012;11:40:04;210;2501 139;;;;;;;;;;;2501;1;139;Reiseland Troisdorf;;;Troisdorf;Kerpstr.9;;53844;;;DE;20110927;20691231;;;;;;;;;101390;;;;;;troisdorf@reiseland.de;;;;7904;188337;20110927;20691231;7905;188337;20110927;20691231;9640;110196;20110927;20691231;9641;110196;20110927;20691231;9642;110196;20110927;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;27.09.2011;15:43:48;9083;27.02.2013;13:52:35;210;2501 140;;;;;;;;;;;2501;1;140;Reiseland jena-lobeda;;;jena-lobeda;Karl-marx-allee;;7747;;;DE;20130101;20691231;;;;;;;;;101389;;;;;;jena.kaufland@reiseland.de;;;;7904;188336;20110927;20691231;7905;188336;20110927;20691231;9640;110195;20110927;20691231;9641;110195;20110927;20691231;9642;110195;20110927;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;28.09.2011;11:11:53;9083;13.01.2012;09:40:34;210;2501 141;;;;;;;;;;;2501;1;141;reiseland aschersleben-markt;;;Aschersleben;markt 15;;6449;;;DE;20110928;20691231;;;;;;;;;101391;;;;;;Aschersleben.Markt@reiseland.de;;;;7904;188338;20110928;20691231;7905;188338;20110928;20691231;9640;110197;20110928;20691231;9641;110197;20110928;20691231;9642;110197;20110928;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;28.09.2011;11:15:43;9083;11.04.2016;09:39:07;210;2501 142;;;;;;;;;;;2501;1;142;Reiseland Bensheim;;;Bensheim;Darmstaedter str 198;;64625;;;DE;20110928;20161231;;;;;;;;;101392;;;;;;bensheim@reiseland.de;;;;7904;188339;20110928;20691231;7905;188339;20110928;20691231;9640;110198;20110928;20691231;9641;110198;20110928;20691231;9642;110198;20110928;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:04:33;9083;23.12.2011;13:55:09;210;2501 143;;;;;;;;;;;2501;1;143;Reiseland Ahlen;;;Ahlen;Gerichtstr. 2;;59227;;;DE;20120101;20691231;;;;;;;;;101393;;;;;;ahlen@reiseland.de;;;;7904;188340;20120101;20691231;7905;188340;20120101;20691231;9640;110199;20120101;20691231;9641;110199;20120101;20691231;9642;110199;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:06:07;9083;16.01.2012;09:29:33;210;2501 144;;;;;;;;;;;2501;1;144;Reiseland Guetersloh;;;Guetersloh;Koenigstr.3;;33330;;;DE;20120101;20691231;;;;;;;;;101394;;;;;;guetersloh@reiseland.de;;;;7904;188341;20120101;20691231;7905;188341;20120101;20691231;9640;110200;20120101;20691231;9641;110200;20120101;20691231;9642;110200;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:08:07;9083;16.01.2012;09:29:38;210;2501 145;;;;;;;;;;;2501;1;145;Reiseland Soest;;;Soest;Senator-Schwarz-Ring 24;;59494;;;DE;20120101;20691231;;;;;;;;;101395;;;;;;soest.kaufland@reiseland.de;;;;7904;188342;20120101;20691231;7905;188342;20120101;20691231;9640;110201;20120101;20691231;9641;110201;20120101;20691231;9642;110201;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:09:24;9083;17.10.2016;11:14:29;210;2501 146;;;;;;;;;;;2501;1;146;Reiseland Cuxhaven;;;Cuxhaven;Konrad-Adenauer-Alle 2;;27472;;;DE;20120101;20161031;;;;;;;;;101396;;;;;;cuxhaven@reiseland.de;;;;7904;188343;20120101;20691231;7905;188343;20120101;20691231;9640;110202;20120101;20691231;9641;110202;20120101;20691231;9642;110202;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:10:27;9083;02.04.2012;12:06:14;210;2501 147;;;;;;;;;;;2501;1;147;Reiseland Bremerhaven;;;Bremerhaven;Pferdebade 5;;27580;;;DE;20120101;20691231;;;;;;;;;101397;;;;;;bremerhaven@reiseland.de;;;;7904;188344;20120101;20691231;7905;188344;20120101;20691231;9640;110203;20120101;20691231;9641;110203;20120101;20691231;9642;110203;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.11.2011;13:11:24;9083;08.04.2014;11:30:21;210;2501 148;;;;;;;;;;;2501;1;148;Reiseland Spaden;;;Spaden;Neufelder Weg 5;;27619;;;DE;20120101;20691231;;;;;;;;;101398;;;;;;spaden@reiseland.de;;;;7904;188345;20120101;20691231;7905;188345;20120101;20691231;9640;110204;20120101;20691231;9641;110204;20120101;20691231;9642;110204;20120101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9265;13.09.2012;09:46:47;9083;29.08.2014;09:26:27;210;2501 149;;;;;;;;;;;2501;1;149;Reiseland Schalksmuehle;;;Schalksmuehle;Bahnhofstrasse 14 - 24;;58579;;;DE;19800101;20691231;2355;90920;0;0;0;0;903040;;101399;;;;;;schalksmuehle@reiseland.de;;;;7904;188346;20121001;20691231;7905;188346;20121001;20691231;9640;110205;20121001;20691231;9641;110205;20121001;20691231;9642;110205;20121001;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;11.02.2013;11:24:15;9083;27.02.2013;14:00:46;210;2501 150;;;;;;;;;;;2501;1;150;Reiseland Moenchengladbach;;;Krefelder Str. 131;Moenchengladbach;;41063;;;DE;20130301;20691231;;;;;;;;;101428;;;;;;moenchengladbach@reiseland.de;;;;7904;188347;20130301;20691231;7905;188347;20130301;20691231;9640;110206;20130301;20691231;9641;110206;20130301;20691231;9642;110206;20130301;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.07.2013;11:16:07;9083;30.07.2013;11:19:59;210;2501 151;;;;;;;;;;;2501;1;151;Reiseland Hermeskeil;;;Hermeskeil;An der Roemerstraﬂe ( Kaufland);;54411;;;DE;20131001;20691231;;;;;;;;;101429;;;;;;hermeskeil@reiseland.de;;;;7904;188348;20131001;20691231;7905;188348;20131001;20691231;9640;110207;20131001;20691231;9641;110207;20131001;20691231;9642;110207;20131001;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.07.2013;11:29:44;9083;30.07.2013;11:31:56;210;2501 152;;;;;;;;;;;2501;1;152;Reiseland Landstuhl;;;Landstuhl;Torfstr. 10 (Kaufland);;66849;;;DE;20131001;20691231;;;;;;;;;101431;;;;;;landstuhl@reiseland.de;;;;7904;188350;20131001;20691231;7905;188350;20131001;20691231;9640;110209;20131001;20691231;9641;110209;20131001;20691231;9642;110209;20131001;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;30.07.2013;11:35:04;9083;06.10.2016;14:08:41;210;2501 153;;;;;;;;;;;2501;1;153;Reiseland Landsberg-Peiﬂen;;;Landsberg/OT Peiﬂen;Saarbruecker Str. 1;;6188;;;DE;20131001;20691231;345;6810090;;;;;68100910;;101430;;;;;;Peissen@reiseland.de;;;;7904;188349;20131001;20691231;7905;188349;20131001;20691231;9640;110208;20131001;20691231;9641;110208;20131001;20691231;9642;110208;20131001;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9083;27.09.2013;09:54:58;9083;27.09.2013;10:02:38;210;2501 154;;;;;;;;;;;2501;1;154;Reiseland Welver;;;Welver;Am Markt 22;;59514;;;DE;20131015;20691231;2384;941215;;;;;941217;;101432;;;;;;welver@reiseland.de;;;;7904;188351;20131015;20691231;7905;188351;20131015;20691231;9640;110210;20131015;20691231;9641;110210;20131015;20691231;9642;110210;20131015;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
